strUTC,strYear,strDataType,strSitCom,strPlotName,strGSpp,strPlantID,strTrait,strJulianDay,numMonth,numResponse
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,166,6,13
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,166,6,0
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,166,6,0
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,166,6,12.9
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,166,6,0
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,166,6,12.7
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,166,6,-999.9
20160614,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,166,6,13
20160614,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,166,6,7.9
20160614,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,166,6,14.4
20160614,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,166,6,14.4
20160614,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,166,6,7.9
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,177,6,0
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,177,6,13
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,177,6,18
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,177,6,0
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,177,6,13.9
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,177,6,0
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,177,6,18
20160625,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,177,6,-999.9
20160625,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,177,6,11.2
20160625,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,177,6,19.1
20160625,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,177,6,11.2
20160625,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,177,6,19.1
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,187,7,0
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,187,7,16.7
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,187,7,0
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,187,7,18.4
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,187,7,0
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,187,7,19.5
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,187,7,23.2
20160705,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,187,7,19.5
20160705,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,187,7,13.3
20160705,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,187,7,29.8
20160705,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,187,7,29.8
20160705,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,187,7,13.3
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,198,7,0
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,198,7,19.7
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,198,7,0
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,198,7,20.6
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,198,7,0
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,198,7,22.3
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,198,7,27.1
20160716,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,198,7,28.1
20160716,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,198,7,15.7
20160716,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,198,7,34.8
20160716,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,198,7,15.7
20160716,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,198,7,34.8
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,208,7,19.7
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,208,7,0
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,208,7,29.5
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,208,7,0
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,208,7,0
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,208,7,24.6
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,208,7,32.7
20160726,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,208,7,39.3
20160726,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,208,7,16.8
20160726,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,208,7,37.7
20160726,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,208,7,37.7
20160726,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,208,7,16.8
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,218,8,0
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,218,8,21.5
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,218,8,0
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,218,8,29.9
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,218,8,0
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,218,8,24.6
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,218,8,43.5
20160805,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,218,8,35
20160805,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,218,8,38
20160805,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,218,8,18.9
20160805,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,218,8,38
20160805,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,218,8,-999.9
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGInLn,228,8,0
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBIN1,numGLeLn,228,8,21.5
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGInLn,228,8,0
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBIN2,numGLeLn,228,8,30.1
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGInLn,228,8,0
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBIN3,numGLeLn,228,8,27
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGInLn,228,8,35
20160815,2016,GROW,AG,AGCE02,CAQU,CAQUBTP0,numGLeLn,228,8,44.9
20160815,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGLeLn,228,8,18.9
20160815,2016,GROW,AG,AGCE02,EVAG,EVAGBIN1,numGInLn,228,8,38
20160815,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGInLn,228,8,38
20160815,2016,GROW,AG,AGCE02,EVAG,EVAGBTP0,numGLeLn,228,8,17.5
20160614,2016,INFL,AG,AGCE02,BNAN,BNANBTP0,numIFlow,166,6,1
20160614,2016,INFL,AG,AGCE02,BNAN,BNANBTP0,numIEatn,166,6,0
20160614,2016,INFL,AG,AGCE02,BNAN,BNANBTP0,numIPosF,166,6,0
20160614,2016,INFL,AG,AGCE02,BNAN,BNANBTP0,numIPreF,166,6,48
20160614,2016,INFL,AG,AGCE02,BNAN,BNANBTP0,total,166,6,49
