Site,Src,Plot,Ind,Tiller,Yrm,gr,Tos,Tcode
Coldfoot,CF,C1,Blue,Blue,2023,control,245,Coldfoot.C1.Blue.Blue.2023
Coldfoot,CF,C1,Red,Red,2023,control,236,Coldfoot.C1.Red.Red.2023
Coldfoot,CF,C1,Yellow,Yellow,2023,control,234,Coldfoot.C1.Yellow.Yellow.2023
Coldfoot,CF,C10,Blue,Blue,2023,control,232,Coldfoot.C10.Blue.Blue.2023
Coldfoot,CF,C10,Red,Red,2023,control,246,Coldfoot.C10.Red.Red.2023
Coldfoot,CF,C10,Yellow,Yellow,2023,control,241,Coldfoot.C10.Yellow.Yellow.2023
Coldfoot,CF,C11,Blue,Blue,2023,control,223,Coldfoot.C11.Blue.Blue.2023
Coldfoot,CF,C11,Red,Red,2023,control,223,Coldfoot.C11.Red.Red.2023
Coldfoot,CF,C11,Yellow,Yellow,2023,control,211,Coldfoot.C11.Yellow.Yellow.2023
Coldfoot,CF,C12,Blue,Blue,2023,control,223,Coldfoot.C12.Blue.Blue.2023
Coldfoot,CF,C12,Red,Red,2023,control,231,Coldfoot.C12.Red.Red.2023
Coldfoot,CF,C12,Yellow,Yellow,2023,control,238,Coldfoot.C12.Yellow.Yellow.2023
Coldfoot,CF,C2,Blue,Blue,2023,control,230,Coldfoot.C2.Blue.Blue.2023
Coldfoot,CF,C2,Red,Red,2023,control,235,Coldfoot.C2.Red.Red.2023
Coldfoot,CF,C2,Yellow,Yellow,2023,control,217,Coldfoot.C2.Yellow.Yellow.2023
Coldfoot,CF,C3,Blue,Blue,2023,control,230,Coldfoot.C3.Blue.Blue.2023
Coldfoot,CF,C3,Red,Red,2023,control,213,Coldfoot.C3.Red.Red.2023
Coldfoot,CF,C3,Yellow,Yellow,2023,control,241,Coldfoot.C3.Yellow.Yellow.2023
Coldfoot,CF,C4,Blue,Blue,2023,control,225,Coldfoot.C4.Blue.Blue.2023
Coldfoot,CF,C4,Red,Red,2023,control,233,Coldfoot.C4.Red.Red.2023
Coldfoot,CF,C4,Yellow,Yellow,2023,control,228,Coldfoot.C4.Yellow.Yellow.2023
Coldfoot,CF,C5,Blue,Blue,2023,control,233,Coldfoot.C5.Blue.Blue.2023
Coldfoot,CF,C5,Yellow,Yellow,2023,control,227,Coldfoot.C5.Yellow.Yellow.2023
Coldfoot,CF,C6,Blue,Blue,2023,control,230,Coldfoot.C6.Blue.Blue.2023
Coldfoot,CF,C6,Red,Red,2023,control,222,Coldfoot.C6.Red.Red.2023
Coldfoot,CF,C6,Yellow,Yellow,2023,control,216,Coldfoot.C6.Yellow.Yellow.2023
Coldfoot,CF,C7,Blue,Blue,2023,control,244,Coldfoot.C7.Blue.Blue.2023
Coldfoot,CF,C7,Red,Red,2023,control,227,Coldfoot.C7.Red.Red.2023
Coldfoot,CF,C7,Yellow,Yellow,2023,control,234,Coldfoot.C7.Yellow.Yellow.2023
Coldfoot,CF,C8,Blue,Blue,2023,control,237,Coldfoot.C8.Blue.Blue.2023
Coldfoot,CF,C8,Red,Red,2023,control,222,Coldfoot.C8.Red.Red.2023
Coldfoot,CF,C8,Yellow,Yellow,2023,control,223,Coldfoot.C8.Yellow.Yellow.2023
Coldfoot,CF,C9,Blue,Blue,2023,control,235,Coldfoot.C9.Blue.Blue.2023
Coldfoot,CF,C9,Red,Red,2023,control,225,Coldfoot.C9.Red.Red.2023
Coldfoot,CF,C9,Yellow,Yellow,2023,control,220,Coldfoot.C9.Yellow.Yellow.2023
Coldfoot,CF,CF1,A,Red,2023,control,209,Coldfoot.CF1.A.Red.2023
Coldfoot,CF,CF1,A,Red2,2024,control,217,Coldfoot.CF1.A.Red2.2024
Coldfoot,CF,CF1,B,Blue,2022,control,238,Coldfoot.CF1.B.Blue.2022
Coldfoot,CF,CF1,B,Red,2023,control,235,Coldfoot.CF1.B.Red.2023
Coldfoot,CF,CF1,B,Red,2024,control,219,Coldfoot.CF1.B.Red.2024
Coldfoot,CF,CF1,C,Blue,2022,control,238,Coldfoot.CF1.C.Blue.2022
Coldfoot,CF,CF1,C,Blue,2023,control,205,Coldfoot.CF1.C.Blue.2023
Coldfoot,CF,CF1,C,Blue2,2024,control,198,Coldfoot.CF1.C.Blue2.2024
Coldfoot,CF,CF1,C,Red,2022,control,231,Coldfoot.CF1.C.Red.2022
Coldfoot,CF,CF1,CF1,Black,2015,control,224,Coldfoot.CF1.CF1.Black.2015
Coldfoot,CF,CF1,CF1,Black,2016,control,244,Coldfoot.CF1.CF1.Black.2016
Coldfoot,CF,CF1,CF1,Black,2017,control,231,Coldfoot.CF1.CF1.Black.2017
