"site","Src","Plot","Ind","Yrm","Tcode","gl","Tos"
"Toolik","CF","CF4","B",2022,"Toolik.CF4.B.yellow.2022",11,220
"Coldfoot","CF","CF4","C",2022,"Coldfoot.CF4.C.Red.2022",13,223
"Sagwon","SG","SG10","SG10",2015,"Sagwon.SG10.SG10.Black.2015",10,180
"Sagwon","TL","TL4","B",2024,"Sagwon.TL4.B.red.2024",13,NA
"Sagwon","CF","CF19","A",2022,"Sagwon.CF19.A.red.2022",9,232
"Toolik","TL","TL17","B",2022,"Toolik.TL17.B.red.2022",11,220
"Sagwon","SG","SG19","C",2024,"Sagwon.SG19.C.red.2024",13,NA
"Coldfoot","SG","SG5","A",2022,"Coldfoot.SG5.A.Red.2022",13,194
"Coldfoot","SG","SG2","C",2022,"Coldfoot.SG2.C.Red.2022",13,201
"Sagwon","TL","TL2","A",2022,"Sagwon.TL2.A.red.2022",9,214
"Toolik","CF","CF16","A",2023,"Toolik.CF16.A.red.2023",14,228
"Sagwon","CF","CF18","C",2022,"Sagwon.CF18.C.red.2022",9,NA
"Toolik","CF","CF2","B",2024,"Toolik.CF2.B.blue.2024",15,206
"Toolik","CF","CF10","CF10",2016,"Toolik.CF10.CF10.Black.2016",14,226
"Toolik","TL","TL17","A",2024,"Toolik.TL17.A.blue.2024",7,NA
"Sagwon","CF","CF13","CF13",2016,"Sagwon.CF13.CF13.Black.2016",16,238
"Sagwon","CF","CF13","A",2022,"Sagwon.CF13.A.Red.2022",9,NA
"Coldfoot","TL","TL4","B",2024,"Coldfoot.TL4.B.Red2.2024",17,230
"Toolik","SG","SG3","B",2024,"Toolik.SG3.B.blue.2024",15,227
"Sagwon","TL","TL8","C",2022,"Sagwon.TL8.C.red.2022",9,NA
"Sagwon","TL","TL5","C",2023,"Sagwon.TL5.C.red.2023",13,234
"Sagwon","SG","SG14","SG14",2016,"Sagwon.SG14.SG14.Black.2016",16,209
"Sagwon","TL","TL5","A",2023,"Sagwon.TL5.A.red.2023",13,217
"Toolik","SG","SG19","B",2023,"Toolik.SG19.B.blue.2023",14,208
"Coldfoot","SG","SG6","B",2022,"Coldfoot.SG6.B.red.2022",12,194
"Coldfoot","SG","SG3","B",2024,"Coldfoot.SG3.B.Blue2.2024",17,207
"Coldfoot","SG","SG6","C",2022,"Coldfoot.SG6.C.red.2022",13,201
"Toolik","CF","CF5","C",2022,"Toolik.CF5.C.red.2022",11,211
"Coldfoot","SG","SG6","A",2022,"Coldfoot.SG6.A.blue.2022",13,201
"Sagwon","CF","CF16","A",2022,"Sagwon.CF16.A.Blue.2022",8,206
"Coldfoot","SG","SG3","SG3",2017,"Coldfoot.SG3.SG3.Black.2017",13,217
"Sagwon","SG","SG5","A",2022,"Sagwon.SG5.A.blue.2022",9,222
"Toolik","CF","CF4","A",2022,"Toolik.CF4.A.blue.2022",11,234
"Coldfoot","SG","SG2","B",2022,"Coldfoot.SG2.B.Red.2022",11,210
"Toolik","CF","CF19","B",2024,"Toolik.CF19.B.red.2024",7,NA
"Sagwon","TL","TL11","A",2022,"Sagwon.TL11.A.blue.2022",9,NA
"Toolik","CF","CF2","C",2022,"Toolik.CF2.C.red.2022",11,220
"Coldfoot","SG","SG2","SG2",2017,"Coldfoot.SG2.SG2.Black.2017",13,226
"Coldfoot","TL","TL5","TL5",2016,"Coldfoot.TL5.TL5.Black.2016",13,217
